youtube_id,original_name,new_name,new_path
06H6QMecaPI,06H6QMecaPI_00016.jpeg,f9d5fa3b-aeb5-4392-ab94-cdb104284d85.jpeg,grouped_dataset/group_61/f9d5fa3b-aeb5-4392-ab94-cdb104284d85.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000002421.jpeg,afee9c59-18bc-4bfa-8d66-b85fbedeeb2f.jpeg,grouped_dataset/group_62/afee9c59-18bc-4bfa-8d66-b85fbedeeb2f.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000003177.jpeg,e9aff97c-aeb1-4f66-815e-880a69cfb66d.jpeg,grouped_dataset/group_63/e9aff97c-aeb1-4f66-815e-880a69cfb66d.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000001450.jpeg,637acab4-2596-48cb-913d-5081b14c5d01.jpeg,grouped_dataset/group_64/637acab4-2596-48cb-913d-5081b14c5d01.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000001759.jpeg,539614dd-fc2e-4969-83ad-041708f2c03e.jpeg,grouped_dataset/group_65/539614dd-fc2e-4969-83ad-041708f2c03e.jpeg
6xnw5eiB_Ck,6xnw5eiB_Ck_00036.jpeg,b5571296-4802-4509-8792-b552bcebc758.jpeg,grouped_dataset/group_66/b5571296-4802-4509-8792-b552bcebc758.jpeg
3CWzCwCmHho,3CWzCwCmHho_frames000000848.jpeg,f50a7b43-6bca-403d-b5f1-a25978e8d56a.jpeg,grouped_dataset/group_67/f50a7b43-6bca-403d-b5f1-a25978e8d56a.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000004758.jpeg,0eb694c1-cce4-42d8-b59e-e06df2456e08.jpeg,grouped_dataset/group_68/0eb694c1-cce4-42d8-b59e-e06df2456e08.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000002987.jpeg,6374213b-b8dc-47ea-8b6f-726a758dbd0e.jpeg,grouped_dataset/group_69/6374213b-b8dc-47ea-8b6f-726a758dbd0e.jpeg
dvljiQgpCAE,dvljiQgpCAE_frames000004050.jpeg,5df09bd6-f538-4293-b668-e9df7bf03bd5.jpeg,grouped_dataset/group_70/5df09bd6-f538-4293-b668-e9df7bf03bd5.jpeg
_74yzN4lf3w,_74yzN4lf3w_frames000001455.jpeg,c73a9176-d8d1-441a-b34a-cade73156a75.jpeg,grouped_dataset/group_71/c73a9176-d8d1-441a-b34a-cade73156a75.jpeg
toc-YQLDIZ8,toc-YQLDIZ8_frames000003073.jpeg,74e42622-3929-4bb4-a096-c830ecb7b312.jpeg,grouped_dataset/group_72/74e42622-3929-4bb4-a096-c830ecb7b312.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000002921.jpeg,6859dd2b-2aa7-4312-96c6-4e0fcfa443ad.jpeg,grouped_dataset/group_73/6859dd2b-2aa7-4312-96c6-4e0fcfa443ad.jpeg
puWTz8toRHc,puWTz8toRHc_frames000002236.jpeg,d36313ab-874b-47fe-a839-bbf7da8189b8.jpeg,grouped_dataset/group_74/d36313ab-874b-47fe-a839-bbf7da8189b8.jpeg
toc-YQLDIZ8,toc-YQLDIZ8_frames000003347.jpeg,a7c434ee-04f8-40f0-9492-f26f8b1afa5e.jpeg,grouped_dataset/group_75/a7c434ee-04f8-40f0-9492-f26f8b1afa5e.jpeg
IOtcPXovgzs,IOtcPXovgzs_00037.jpeg,ef1ff95d-5fc1-4c3c-b693-eb21e574d1e7.jpeg,grouped_dataset/group_76/ef1ff95d-5fc1-4c3c-b693-eb21e574d1e7.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000004879.jpeg,2615187e-299e-4118-88fa-ef44d0d4958a.jpeg,grouped_dataset/group_77/2615187e-299e-4118-88fa-ef44d0d4958a.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000002792.jpeg,4c5a75ca-7263-425a-859f-91f42f93bf85.jpeg,grouped_dataset/group_78/4c5a75ca-7263-425a-859f-91f42f93bf85.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000001848.jpeg,488e7ed8-cb40-42f9-9f55-2a433e3b26a9.jpeg,grouped_dataset/group_79/488e7ed8-cb40-42f9-9f55-2a433e3b26a9.jpeg
